structure_type,word_order,seed,split,perplexity,mean_surp,f1,top_ll_per_word,top_ten_neg_entropy_per_word,top_ll_per_sent,top_ten_neg_entropy_per_sent
no-reduction,000000,3435,cc,32.19557776546345,3.471829106642555,96.74,-77.29432269553264,-0.0060116615614059085,-1175.5307067149993,-0.09142835485664176
no-reduction,000000,3436,cc,32.52512499279198,3.4820128673671102,96.68,-77.6788356754553,-0.006127183534229532,-1181.3785723701467,-0.09318527078032983
no-reduction,000000,3437,cc,32.499512344375574,3.481225084434675,96.92,-77.57957719525291,-0.006071130263247846,-1179.868999773999,-0.09233278460860486
structure-reduction,000000,3435,cc,33.857714121426156,3.522166864722213,96.32,-43.51007666608546,-0.007500242498077692,-524.3399339029997,-0.09038542234433425
structure-reduction,000000,3436,cc,34.81043386348297,3.5499171655056,94.33,-44.10385538518005,-0.007664998746461925,-531.4955612468005,-0.09237089989361266
structure-reduction,000000,3437,cc,34.963899814781506,3.554316095332072,96.85,-44.02529292598932,-0.007828924667187416,-530.5488050511,-0.09434637116427555
linear-reduction,000000,3435,cc,93.54293694763543,4.538420549577295,88.96,-36.72089962223077,-0.010124301509054034,-357.0373070269502,-0.09843858357253236
linear-reduction,000000,3436,cc,96.50613287489726,4.569606559433271,88.73,-36.91313358229429,-0.009100352802401391,-358.90639782065114,-0.0884827302977487
linear-reduction,000000,3437,cc,95.83704157375405,4.562649265503326,88.63,-37.16158843011396,-0.010223290717483614,-361.3221243060006,-0.09940105564609318
no-reduction,000001,3435,cc,33.54860234691831,3.512995203739754,99.42,-79.142192247109,-0.0051085423823491695,-1203.6340307901514,-0.07769326682195733
no-reduction,000001,3436,cc,33.2662913389996,3.5045446121908603,99.47,-78.73637134246631,-0.00517373293144328,-1197.4621035619025,-0.07868471728785512
no-reduction,000001,3437,cc,33.82732790417916,3.5212689936895885,99.27,-79.25665654774964,-0.005006715469309456,-1205.3748611064477,-0.07614463221499287
structure-reduction,000001,3435,cc,35.75676633727882,3.5767395194066864,99.49,-44.74082041452568,-0.006507974370591758,-539.17162681545,-0.07842759914000128
structure-reduction,000001,3436,cc,35.7198864218057,3.5757075763225514,99.41,-44.925484684926744,-0.0062764914969900614,-541.3970159380501,-0.07563799903022723
structure-reduction,000001,3437,cc,36.13697449045908,3.587316565291633,99.42,-44.327714277449935,-0.006528072363934398,-534.1932847575505,-0.07866980005777341
linear-reduction,000001,3435,cc,109.07916600021356,4.69207391218554,90.39,-38.474533530952485,-0.009556847787164124,-374.0878895214492,-0.09292123103459679
linear-reduction,000001,3436,cc,98.67110649627192,4.591792162916585,90.42,-37.89841002092499,-0.007777650677334349,-368.4862406334497,-0.07562209753572188
linear-reduction,000001,3437,cc,104.96556297671259,4.653632324712703,90.67,-38.01381323848095,-0.007946618132213097,-369.6083061177498,-0.07726496809950793
no-reduction,000010,3435,cc,31.73056385152753,3.4572803757343316,96.52,-76.82671243508263,-0.005840102442777222,-1168.4190560689485,-0.08881919800097736
no-reduction,000010,3436,cc,33.18048875478342,3.501962015057165,97.22,-77.92926829020692,-0.006668627644055224,-1185.1872767916002,-0.10141982352461386
no-reduction,000010,3437,cc,32.38164283295475,3.4775916830018283,97.40,-77.39472557255499,-0.00600081406798422,-1177.0576838701993,-0.091263380752938
structure-reduction,000010,3435,cc,34.68632532626495,3.5463455264652017,96.61,-43.91880357567014,-0.006897409391969281,-529.2655018904006,-0.0831206805826218
structure-reduction,000010,3436,cc,34.38237096272414,3.5375439610068566,96.56,-43.69090910781678,-0.007271137154057803,-526.5191456582997,-0.08762447384355057
structure-reduction,000010,3437,cc,34.7177056075845,3.5472498048777283,97.05,-43.95970419371817,-0.00784050161548585,-529.7583952384994,-0.09448588496821995
linear-reduction,000010,3435,cc,98.76647630098314,4.5927582384811,88.15,-37.34601035101806,-0.008307942251161979,-363.11525864295044,-0.08077812250804792
linear-reduction,000010,3436,cc,95.6323862244763,4.560511530726875,88.72,-37.085276220209686,-0.008904680114359105,-360.58014068909984,-0.08658020475191358
linear-reduction,000010,3437,cc,91.10855701634785,4.512051729781753,88.66,-36.705077378890095,-0.00932502238917249,-356.88346735495054,-0.09066719268992413
no-reduction,000011,3435,cc,32.87847650593004,3.492818234136684,99.44,-77.85383464892989,-0.004432437613394383,-1184.0400442582463,-0.06741072744330848
no-reduction,000011,3436,cc,32.331125257648644,3.4760303965027792,99.34,-77.60595893622587,-0.004770450461176117,-1180.2702264816014,-0.07255139583879698
no-reduction,000011,3437,cc,32.68430716450189,3.4868950594865575,99.01,-78.08563828223404,-0.005679026544881466,-1187.56542981535,-0.08636947520782975
structure-reduction,000011,3435,cc,35.861606827685705,3.579667275530225,99.37,-44.67194423414616,-0.007057642792379003,-538.3415999656993,-0.08505165329095936
structure-reduction,000011,3436,cc,35.05887855725416,3.5570288925940106,99.45,-44.17208078696372,-0.006034689954129626,-532.3177455637,-0.07272404863721613
structure-reduction,000011,3437,cc,35.997092251624615,3.583438164405769,99.42,-44.85525135129045,-0.0053726415859909485,-540.5506340344004,-0.06474570375277691
linear-reduction,000011,3435,cc,97.56921497619538,4.580562023337726,90.47,-37.50275339882225,-0.0078029801797600135,-364.6392712967501,-0.07586837628780663
linear-reduction,000011,3436,cc,103.82340815826204,4.642691457429737,90.14,-38.05891568617182,-0.007082532406915776,-370.04683721665015,-0.0688634625924421
linear-reduction,000011,3437,cc,100.34510512925958,4.608615296068204,90.94,-37.90027517908553,-0.008304201268465367,-368.5043755662502,-0.08074174893328877
no-reduction,000100,3435,cc,33.027963243209015,3.497354573656689,97.84,-78.1169099837334,-0.0057437973406025255,-1188.0410254876028,-0.0873545418545535
no-reduction,000100,3436,cc,32.6850792331181,3.4869186812048816,97.25,-77.81014704111107,-0.006450110269768689,-1183.3756212747487,-0.09809650203777713
no-reduction,000100,3437,cc,32.2921699366499,3.474824784018919,97.30,-77.26624377241647,-0.00606011705988055,-1175.1036684128019,-0.09216529030519334
structure-reduction,000100,3435,cc,34.83947341097379,3.550751037374491,96.50,-43.98068404538174,-0.006695161925098395,-530.0112234309005,-0.08068339635936075
structure-reduction,000100,3436,cc,34.5384600873085,3.54207348826515,96.64,-43.822734575503816,-0.00745030055436998,-528.1077743693985,-0.08978357198071264
structure-reduction,000100,3437,cc,34.56077682995205,3.5427194214017548,97.16,-43.55350090697058,-0.007281370917839954,-524.8632394299001,-0.08774780093088928
linear-reduction,000100,3435,cc,97.56555053200772,4.580524465251359,88.91,-37.16918223518956,-0.00994299589809043,-361.3959588727495,-0.09667574911713325
linear-reduction,000100,3436,cc,96.71123220561975,4.571729550890798,88.82,-37.18451192825777,-0.009285515399998591,-361.5450094784509,-0.09028306623418632
linear-reduction,000100,3437,cc,96.61287446979145,4.5707120084228015,88.34,-37.31391222657082,-0.010216715792958232,-362.80316857894945,-0.09933712765493288
no-reduction,000101,3435,cc,33.48036587700457,3.510959173787505,99.49,-78.93294722554805,-0.00528974587133168,-1200.4517278797493,-0.08044910008414786
no-reduction,000101,3436,cc,33.562081766263354,3.513396910851056,99.58,-78.74148250804498,-0.005349427660468816,-1197.539836723601,-0.08135677057423998
no-reduction,000101,3437,cc,32.870915543438436,3.4925882407545625,99.20,-78.30617252186258,-0.0051128834956775246,-1190.919424798748,-0.07775928864401165
structure-reduction,000101,3435,cc,35.974609248832394,3.5828133909724658,99.41,-44.3115651445769,-0.005993735349476561,-533.9986715573007,-0.07223050469654203
structure-reduction,000101,3436,cc,36.077958034563515,3.585682098098478,99.44,-45.05432785911524,-0.006213418510409374,-542.9497050302003,-0.07487790646894336
structure-reduction,000101,3437,cc,35.91933131727352,3.581275627371899,99.36,-44.67824991167956,-0.005736879538928223,-538.4175896856501,-0.06913513532362402
linear-reduction,000101,3435,cc,97.77418118667823,4.5826605461414465,91.00,-37.48670932361921,-0.008022240892749156,-364.48327475355006,-0.07800024820020005
linear-reduction,000101,3436,cc,97.157233858871,4.576330633770595,91.16,-37.70061842735739,-0.008178782473360315,-366.5631129692007,-0.07952230198848233
linear-reduction,000101,3437,cc,103.8199265677375,4.642657923095206,90.90,-38.077271576437404,-0.008226696649206715,-370.2253115377002,-0.07998817152023688
no-reduction,000110,3435,cc,32.5754407083518,3.483558651955518,97.47,-77.61924452874052,-0.006483223391254404,-1180.4722804153491,-0.09860010294589261
no-reduction,000110,3436,cc,32.05420046538845,3.4674282345416088,97.51,-76.77756587824865,-0.005601421797204608,-1167.67161065935,-0.08518922340278628
no-reduction,000110,3437,cc,33.11477354870262,3.4999795135835785,97.62,-77.79057154086203,-0.006071942012024287,-1183.0779072791997,-0.09234513008987136
structure-reduction,000110,3435,cc,34.14638845028243,3.530656824942081,97.08,-43.475407692548295,-0.006186122080506298,-523.9221381029001,-0.07454895719218141
structure-reduction,000110,3436,cc,34.75303146954566,3.548266804739604,97.35,-43.84460575272583,-0.006325523665701994,-528.3713439261,-0.07622888569537471
structure-reduction,000110,3437,cc,35.26527329081664,3.5628987202633664,96.13,-44.15760676276213,-0.007486454046648998,-532.1433190980496,-0.0902192577161671
linear-reduction,000110,3435,cc,92.39596013457049,4.526083256204494,88.59,-36.66746216847696,-0.00888648874220447,-356.51773466410054,-0.08640333004045406
linear-reduction,000110,3436,cc,93.0539064526177,4.533178964502758,89.35,-36.628933785909815,-0.008509706323340391,-356.14312320040074,-0.08273987458183862
linear-reduction,000110,3437,cc,93.39567019338827,4.536844986487744,88.51,-36.86387815443787,-0.009223747773524863,-358.42748729560026,-0.08968249960198224
no-reduction,000111,3435,cc,33.26616650408273,3.50454085958887,99.50,-78.52360076435816,-0.005122713720855638,-1194.2261822247508,-0.077908791623633
no-reduction,000111,3436,cc,32.8354215847685,3.4915078590539927,99.47,-78.19120776696504,-0.005119013126870423,-1189.170983323902,-0.07785251114000882
no-reduction,000111,3437,cc,33.19494930560752,3.5023977350004287,99.59,-78.04073689928977,-0.005512970131385897,-1186.8825471328496,-0.0838440062431824
structure-reduction,000111,3435,cc,35.49908345337472,3.5695068779332777,99.38,-44.59478067061599,-0.006710006774677777,-537.4117018616,-0.08086229164164188
structure-reduction,000111,3436,cc,35.65414151031993,3.573865311510404,99.40,-44.33142089020802,-0.00600052717425273,-534.2379531478985,-0.07231235297691964
structure-reduction,000111,3437,cc,34.942159368029515,3.553694104972237,99.40,-43.91027150938076,-0.00561566118302091,-529.1626819595498,-0.067674332916585
linear-reduction,000111,3435,cc,99.65062668496839,4.601670335499725,91.10,-37.34850326663089,-0.00754287330703799,-363.13949726145,-0.07333935716433038
linear-reduction,000111,3436,cc,94.74988417130658,4.551240621495367,91.29,-37.354197522287265,-0.007535166380512185,-363.19486250920005,-0.07326442271771998
linear-reduction,000111,3437,cc,104.77379625969492,4.651803704932873,91.07,-38.13770472070328,-0.008945726038891847,-370.81290299939906,-0.08697929427614542
no-reduction,001000,3435,cc,32.78148054613433,3.489863738437711,99.11,-74.64655630796524,-0.006813869006477284,-1135.262151609701,-0.10362872678500977
no-reduction,001000,3436,cc,32.68131658711453,3.4868035564236997,99.12,-73.5443764166454,-0.0071574062360124655,-1118.499648732549,-0.10885341274039559
no-reduction,001000,3437,cc,32.738055798343815,3.4885381871114434,98.81,-74.53281588739854,-0.0062252194693412765,-1133.5323304234994,-0.0946762502994768
structure-reduction,001000,3435,cc,35.03069298286601,3.556224619567706,98.27,-41.598081757401886,-0.00795902466357382,-501.29848325844966,-0.09591420622072809
structure-reduction,001000,3436,cc,35.17491085235847,3.560333068593786,98.22,-41.44258456548811,-0.008408320677781864,-499.4245865987002,-0.10132867248794925
structure-reduction,001000,3437,cc,35.63409223323425,3.573302826607596,98.23,-42.02071238737858,-0.007800332786365619,-506.3916049802999,-0.09400181040849208
linear-reduction,001000,3435,cc,98.00107555405897,4.584978453651765,88.13,-36.00584679889948,-0.010810434496859546,-350.08484842569953,-0.10510985461296536
linear-reduction,001000,3436,cc,99.77714109331397,4.6029391099209285,88.33,-36.11029977571222,-0.010155654079812896,-351.1004447192503,-0.09874342461802077
linear-reduction,001000,3437,cc,93.8224478230888,4.541404143191899,87.99,-35.75572428630547,-0.011219387155024437,-347.6529072357499,-0.1090861013083026
no-reduction,001001,3435,cc,32.386386919225245,3.4777381776936425,99.53,-73.99997839185676,-0.005316424978301133,-1125.4286713725505,-0.08085484928249279
no-reduction,001001,3436,cc,32.83224673125693,3.4914111644828147,99.49,-74.06389573077911,-0.005223131277269162,-1126.4007582215518,-0.07943599203034807
no-reduction,001001,3437,cc,33.096777181020194,3.4994359115103073,99.45,-74.30327570962959,-0.005074842670664025,-1130.0413686299007,-0.07718074475679382
structure-reduction,001001,3435,cc,35.20249409581913,3.5611169350888163,99.40,-41.27469015392919,-0.0065929691192336696,-497.40129104499925,-0.07945187085588495
structure-reduction,001001,3436,cc,35.22508383078701,3.5617584376481153,99.41,-41.51608978892616,-0.006214586669687151,-500.3103980463503,-0.07489198395639986
structure-reduction,001001,3437,cc,35.65081328158145,3.57377195954768,99.44,-41.272467570006285,-0.00555275792159822,-497.37450668615116,-0.06691628571318015
linear-reduction,001001,3435,cc,99.41230324553707,4.599275881109029,90.79,-36.488805246482215,-0.009069088247585172,-354.78065341154934,-0.08817874503127063
linear-reduction,001001,3436,cc,99.35234897446264,4.598672612145226,89.59,-36.32126287636045,-0.008946496996232374,-353.15163894685,-0.0869867902943674
linear-reduction,001001,3437,cc,99.39164143691069,4.599068019954827,90.96,-36.48825744300098,-0.008071173170692919,-354.77532711829934,-0.07847601673864725
no-reduction,001010,3435,cc,33.25056885466923,3.5040718753666207,99.15,-74.27359524624357,-0.006712074301260655,-1129.5899733024999,-0.10208058201072266
no-reduction,001010,3436,cc,33.16549571715421,3.501510049862775,99.00,-74.87329926403308,-0.006659817174069739,-1138.7105718570506,-0.10128582949183963
no-reduction,001010,3437,cc,32.91920979672425,3.4940563717760678,98.93,-73.86672851493897,-0.007320178121488676,-1123.4021406194513,-0.11132892896066056
structure-reduction,001010,3435,cc,34.95643934780088,3.5541026962811437,98.38,-41.41485554046921,-0.008294998496680276,-499.0904241181995,-0.099963026883494
structure-reduction,001010,3436,cc,34.76215304219549,3.548529238703241,98.42,-40.92816915632698,-0.007679045785319126,-493.2253665028999,-0.09254018075888079
structure-reduction,001010,3437,cc,35.103102212977426,3.558289508702458,98.33,-40.94165037045083,-0.007868972960317218,-493.3878286142995,-0.0948289931447828
linear-reduction,001010,3435,cc,100.64192069182417,4.611568877545696,88.29,-36.35345132086306,-0.009138037004116526,-353.4646071927498,-0.08884913379102496
linear-reduction,001010,3436,cc,96.80093009634665,4.572656602669704,88.31,-35.86644040497257,-0.01041704277370509,-348.7294000575505,-0.1012849068887346
linear-reduction,001010,3437,cc,99.62543933832943,4.601417547021152,87.92,-36.36565358831131,-0.010732120865523796,-353.5832498391497,-0.10434841117548786
no-reduction,001011,3435,cc,33.13485320982951,3.500585695466382,99.49,-74.60643203180749,-0.005207002737266407,-1134.6519215557478,-0.07919070112971616
no-reduction,001011,3436,cc,32.9867199661781,3.4961050552043718,99.17,-75.03987730479338,-0.005003698008272929,-1141.2439739899469,-0.07609874115881886
no-reduction,001011,3437,cc,32.97047548065289,3.4956124785948415,99.26,-74.77363885737908,-0.005508606620856492,-1137.1948865624506,-0.08377764379329597
structure-reduction,001011,3435,cc,35.718310942139695,3.5756634688359576,99.47,-41.07007943608819,-0.005958198564632112,-494.93552728430024,-0.07180225090238157
structure-reduction,001011,3436,cc,35.29830566262293,3.56383496456132,99.41,-41.30786184504605,-0.005615085167567651,-497.8010430946495,-0.06766739135435776
structure-reduction,001011,3437,cc,35.64112448376346,3.573500153276695,99.41,-41.980834537930576,-0.006052619268543635,-505.9110370165993,-0.07294011480521935
linear-reduction,001011,3435,cc,97.6058784147946,4.580937721265094,90.29,-36.36723927920897,-0.007917570378104755,-353.5986675117506,-0.07698253678631252
linear-reduction,001011,3436,cc,96.91919963882599,4.573877637957418,90.28,-36.25542205543019,-0.007619201920801143,-352.5114686449503,-0.07408150027594951
linear-reduction,001011,3437,cc,94.43166476697037,4.547876448760268,90.15,-36.06475271644033,-0.00806934567115834,-350.65759066195017,-0.07845824796067255
no-reduction,001100,3435,cc,33.323219382665684,3.5062544327592398,99.09,-74.77525259261833,-0.006685152624716199,-1137.219429054848,-0.1016711436929963
no-reduction,001100,3436,cc,32.290045110380234,3.474758981807927,99.08,-73.42012172170146,-0.0069829530090711545,-1116.6099212044985,-0.10620024083845864
no-reduction,001100,3437,cc,32.04081617997305,3.4670105956576376,98.97,-73.2639936712924,-0.006966017425148514,-1114.23544774985,-0.10594267601037118
structure-reduction,001100,3435,cc,34.76727021614422,3.548676433192082,98.37,-40.95058515479599,-0.008659812829434796,-493.4955017004503,-0.10435940440751873
structure-reduction,001100,3436,cc,34.84759498278547,3.550984124288194,98.51,-41.254269100991756,-0.0075923774378612715,-497.15519693605034,-0.09149574050366618
structure-reduction,001100,3437,cc,35.3641292292538,3.5656980077969704,98.22,-41.01153791841372,-0.008418297595661492,-494.23004345480024,-0.10144890432531664
linear-reduction,001100,3435,cc,98.65732005277852,4.591652431974045,88.80,-36.30127285711698,-0.01065608482334045,-352.9572759897504,-0.1036091127373392
linear-reduction,001100,3436,cc,96.69004341553028,4.571510433513147,88.80,-35.773281069926604,-0.01041299512257067,-347.82361184290016,-0.10124555157675463
linear-reduction,001100,3437,cc,95.4856774491771,4.55897626188524,88.57,-36.08751550590359,-0.010455619078769511,-350.87891326390013,-0.10165998430287596
no-reduction,001101,3435,cc,33.07266907282369,3.4987072335289096,99.50,-74.83132621596442,-0.005135832569585538,-1138.0722247555016,-0.07810830963454166
no-reduction,001101,3436,cc,33.69172101521018,3.5172521399727397,99.47,-75.18791137628585,-0.005303652772164723,-1143.4953501662474,-0.08066060318546721
no-reduction,001101,3437,cc,32.8527527689106,3.4920355395601046,99.54,-74.31820015496284,-0.005185879139219452,-1130.2683470567483,-0.07886944288881904
structure-reduction,001101,3435,cc,35.40383179711364,3.566820057138211,99.42,-41.41879985476299,-0.0058298566243968975,-499.1379570497498,-0.07025560218060702
structure-reduction,001101,3436,cc,35.3201425376792,3.5644534113357476,99.42,-41.61270375565505,-0.006797181855207681,-501.47469295940016,-0.08191283853710776
structure-reduction,001101,3437,cc,35.805293363093064,3.5780957417808206,99.41,-41.929313637781185,-0.006674320408309561,-505.2901586489,-0.08043223524053854
linear-reduction,001101,3435,cc,100.471516303197,4.609874267459443,90.64,-36.812111333662685,-0.008059595864045307,-357.92415849720004,-0.07836345058611252
linear-reduction,001101,3436,cc,101.48790614651112,4.619939640116866,90.77,-36.898424453784735,-0.00859874783041706,-358.7633809641504,-0.08360562515514508
linear-reduction,001101,3437,cc,96.79526794812,4.572598108254158,90.04,-36.230045524648055,-0.008340097038961889,-352.26473263615014,-0.08109076350982644
no-reduction,001110,3435,cc,33.51122385303437,3.5118804231066085,99.09,-75.48912665286568,-0.006290129168797918,-1148.0763827000997,-0.09566342946366314
no-reduction,001110,3436,cc,33.36400270543941,3.507477555467943,98.80,-74.47194535709329,-0.0061892570593711825,-1132.6065809633508,-0.09412931598744663
no-reduction,001110,3437,cc,32.61885660813864,3.4848905447127687,98.87,-74.5912222467276,-0.006252751161390698,-1134.4206035393527,-0.09509496603801043
structure-reduction,001110,3435,cc,35.29161040864313,3.563645270214804,98.48,-41.759923773417434,-0.008082321644597492,-503.24884139345033,-0.09740005813904437
structure-reduction,001110,3436,cc,35.05560515903606,3.5569355196403216,98.51,-41.314748387017744,-0.007441872188152515,-497.88403281194996,-0.08968200173942598
structure-reduction,001110,3437,cc,34.700708290919884,3.5467600985865664,98.52,-41.320212665056566,-0.007799192295978414,-497.9498828266006,-0.09398806635883586
linear-reduction,001110,3435,cc,96.39718255938284,4.568476974626977,88.78,-35.791780010521386,-0.010651527052644156,-348.0034770423002,-0.10356479753285913
linear-reduction,001110,3436,cc,99.95237813674842,4.60469385392747,88.81,-36.279611411030565,-0.009875482559789867,-352.74666174944986,-0.09601931692883688
linear-reduction,001110,3437,cc,96.15350488699929,4.565945923653304,87.84,-36.10937039788661,-0.00975121860281028,-351.09140837864936,-0.09481109847512434
no-reduction,001111,3435,cc,32.46714427812366,3.4802286326973406,99.11,-74.36032622275827,-0.005333955128239908,-1130.9090213588017,-0.08112145656783663
no-reduction,001111,3436,cc,32.76846703342837,3.4894666820446107,99.26,-74.81777431554436,-0.00562060305681635,-1137.8661206779511,-0.08548094158959145
no-reduction,001111,3437,cc,33.56262648898225,3.5134131410212293,99.45,-74.33454186435553,-0.0060094970409645026,-1130.5168799440498,-0.09139543574750865
structure-reduction,001111,3435,cc,35.311656786227246,3.5642131300014475,99.40,-41.09071170402472,-0.005994650232183698,-495.18416674520023,-0.07224152994804575
structure-reduction,001111,3436,cc,35.17557509064582,3.5603519522810405,99.37,-41.616937522853384,-0.00641921571678618,-501.5257140879007,-0.07735796860299027
structure-reduction,001111,3437,cc,35.96070847750428,3.5824269112309284,99.38,-41.94775651533909,-0.006212023336661162,-505.5124137663498,-0.07486109323010365
linear-reduction,001111,3435,cc,100.41711258151349,4.609332636772673,90.43,-36.64925266234164,-0.00787403337495572,-356.3406836359496,-0.07655922650469446
linear-reduction,001111,3436,cc,100.08615925543147,4.606031407584602,90.84,-36.80513169651342,-0.007013786244719289,-357.85629548520063,-0.06819504365740565
